restaurant_name,city_id,restaurant_id,province_id,average_price,average_score,restaurant_type,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,price,is_chain,image_name
必胜客,3,16,2,66,4.1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-16.jpg
麦当劳,3,17,2,34,3.7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-17.jpg
如意馄饨,3,18,2,26,3.6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-18.jpg
喜茶,3,19,2,23,3.9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-19.jpg
沙县小吃,3,20,2,43,3.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-20.jpg
十八梯邓凳面,4,1,22,17,4.5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-1.jpg
好又来酸辣粉,4,2,22,11,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-2.jpg
义门白家酸辣粉,4,3,22,15,4.1,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-3.jpg
杨记隆府,4,4,22,86,4.4,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-4.jpg
阿福板凳面,4,5,22,17,4.3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-5.jpg
李少芬-重庆老菜馆,4,6,22,51,4.7,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-6.jpg
山城老堂口·1636重庆老菜,4,7,22,78,4.5,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-7.jpg
山城碗碗香,4,8,22,35,4.2,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-8.jpg
民间粮仓·重庆菜,4,9,22,70,4.5,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-9.jpg
月半,4,10,22,55,4.5,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-10.jpg
老麻抄手重庆小面,4,11,22,16,4.4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-11.jpg
老甘家小龙虾江湖菜,4,12,22,112,4.7,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-12.jpg
赵大妹手工小吃,4,13,22,16,4.6,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,2,1,3,3,2,3,4,4,4,0,4-13.jpg
厚慈记传统油茶,4,14,22,17,4.2,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,1,1,1,1,2,4,4,4,2,1,3,3,2,2,3,4,2,0,4-14.jpg
KFC,4,15,22,36,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-15.jpg
必胜客,4,16,22,66,4.1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-16.jpg
麦当劳,4,17,22,34,3.7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-17.jpg
如意馄饨,4,18,22,26,3.6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-18.jpg
喜茶,4,19,22,23,3.9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-19.jpg
沙县小吃,4,20,22,43,3.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,4-20.jpg
壹盏灯,5,1,18,73,4.3,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-1.jpg
笨罗卜浏阳菜馆,5,2,18,55,4.6,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-2.jpg
七号湘,5,3,18,72,4.7,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,4,4,4,3,3,3,3,3,3,0,1,1,1,2,3,3,3,2,2,3,3,2,2,3,3,4,0,5-3.jpg
